"Pulau","Provinsi","Singkatan ISO[3]","Ibu kota","Diresmikan sebagai Provinsi","Populasi(Proyeksi BPS 2020)","Luas Total (km²)","Populasi / Luas (jiwa / km²)","APBD 2020 (miliar rupiah)","PDRB 2020 (triliun rupiah)","PDRB per kapita 2020 (juta rupiah)","IPM 2020","Agama (approx.) 2020"
"Kalimantan","Kalimantan Timur https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_East_Kalimantan.svg/22px-Flag_of_East_Kalimantan.svg.png","KI","Samarinda","2 Juli 1958","3.351.432","129.066,64","17","15.731,10","519,93","155,14","73,82","Islam 70%"
"Kalimantan","Kalimantan Utara https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_North_Kalimantan.png/23px-Flag_of_North_Kalimantan.png","KU","Tanjung Selor","25 Oktober 2012","618.384","13.925,72","9","2.299,60","59,08","95,54","68,64","Islam 55%"
"Sulawesi","Sulawesi Utara https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_North_Sulawesi.svg/22px-Flag_of_North_Sulawesi.svg.png","SA","Manado","13 Desember 1960","2.386.604","13.851,64","171","2.625,93","80,62","33,78","69,96","Kristen 91%"
"Sulawesi","Gorontalo https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_Gorontalo.png/23px-Flag_of_Gorontalo.png","GO","Gorontalo","22 Desember 2000","1.115.633","11.257,07","93","1.406,32","25,2","22,59","65,17","Islam 68%"
"Sulawesi","Sulawesi Tengah https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Central_Sulawesi.png/23px-Flag_of_Central_Sulawesi.png","ST","Palu","23 September 1964","2.831.283","61.841,29","42","2.514,84","90,26","31,88","66,43","Islam 85%"
"Sulawesi","Sulawesi Barat https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_West_Sulawesi.tif/lossless-page1-23px-Flag_of_West_Sulawesi.tif.png","SR","Mamuju","5 Oktober 2004","1.258.090","16.787,18","75","1.388,27","29,39","23,36","62,24","Islam 70%"
"Sulawesi","Sulawesi Selatan https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_South_Sulawesi.svg/22px-Flag_of_South_Sulawesi.svg.png","SN","Makassar","13 Desember 1960","8.432.163","46.717,48","183","6.186,39","300,12","35,59","68,49","Islam 85%"
"Sulawesi","Sulawesi Tenggara https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flag_of_Southeast_Sulawesi.svg/22px-Flag_of_Southeast_Sulawesi.svg.png","SG","Kendari","23 September 1964","2.448.081","38.067,70","67","2.416,99","78,62","32,12","68,07","Islam 75%"
"Kepulauan Maluku","Maluku Utara https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_North_Maluku.png/20px-Flag_of_North_Maluku.png","MU","Sofifi","4 Oktober 1999","1.138.667","31.982,50","27","1.599,66","24,05","21,12","65,18","Islam 58%"
"Kepulauan Maluku","Maluku https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Maluku.png/23px-Flag_of_Maluku.png","MA","Ambon","17 Juni 1958","1.657.409","46.914,03","34","2.013,83","31,73","19,15","66,74","Kristen 63%"
"Papua","Papua Barat https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_West_Papua_%28vectorised%29.svg/22px-Flag_of_West_Papua_%28vectorised%29.svg.png","PB","Manokwari","4 Oktober 1999","849.809","99.671,63","7","6.570,74","58,29","68,59","61,28","Kristen 91%"
"Papua","Papua https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Papua.svg/22px-Flag_of_Papua.svg.png","PA","Jayapura","10 September 1969","3.091.047","319.036,05","10","12.141,30","123,18","39,85","56,75","Kristen 93%"
